Sample;Dataset;Known IDH status;Predicted IDH status
aml_ohsu_2022_2192_BA2715;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2194_BA3164;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2194_BA3235;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2195_BA2421;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2196_BA2399;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2197_BA2301;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2198_BA2876;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2199_BA2275;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2200_BA2415;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2201_BA2097;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2202_BA2224;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2202_BA2470;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2203_BA2552;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2205_BA2747;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2206_BA2813;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2209_BA2764;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2210_BA2850;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2210_BA2993;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2212_BA2937;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2213_BA3009;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2215_BA2587;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2216_BA2160;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2218_BA2658;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2219_BA2244;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2219_BA2477;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2219_BA3089;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2220_BA2162;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2221_BA2087;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2222_BA2311;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2224_BA2079;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2224_BA3099;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2225_BA2523;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2226_BA2934;AML-OHSU-2022;;pIDH-WT
aml_ohsu_2022_2227_BA2822;AML-OHSU-2022;IDH-WT;
